BANN|R|==,TB,UB|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY|12/21/2014,12:21:09 AM|ICC08-LIA.pdf|Life Insurance Application (generic)|
BANN|R|==,TB,UB|DE,SD|10/02/2013,12:21:09 AM|LIA.pdf|Life Insurance Application (DE,SD)|
BANN|R|==,TB,UB|CA|10/02/2013,12:21:09 AM|LIA-CA.pdf|Life Insurance Application (CA)|
BANN|R|==,TB,UB|CT|10/02/2013,12:21:09 AM|LIA-CT.pdf|Life Insurance Application (CT)|
BANN|R|==,TB,UB|DC|10/02/2013,12:21:09 AM|LIA-DC.pdf|Life Insurance Application (DC)|
BANN|R|==,TB,UB|FL|10/02/2013,12:21:09 AM|LIA-FL.pdf|Life Insurance Application (FL)|
BANN|R|==,TB,UB|MT|10/02/2013,12:21:09 AM|LIA-MT.pdf|Life Insurance Application (MT)|
BANN|R|==,TB,UB|ND|10/02/2013,12:21:09 AM|LIA-ND.pdf|Life Insurance Application (ND)|
BANN|R|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,4:35:13 PM|LO196.pdf|Acknowledgement of Non-Illustrated Application|When NAIC required
BANN|R|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/07/0006,4:35:13 PM|LU1032.pdf|Additional Details Supplement to Application (Part I & II)|
BANN|R|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/07/0006,4:35:13 PM|LU1236.pdf|Privacy Policy - Explanation |
BANN|R|==,TB,UB|AL,AK,AR,CO,GA,HI,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WV,WI,WY,GU,PR,VI,AS|12/21/2014,2:57:45 PM|ICC11 LU1250.pdf|Release of Health-Related Information - HIPAA Privacy|
BANN|R|==,TB,UB|AZ,CA,CT,DE,DC,MT,ND,SD|08/02/2013,2:57:45 PM|LU-1250.pdf|Release of Health-Related Information - HIPAA Privacy  (AZ,AR,CA,CT,DE,DC,MT,ND,SD)|
BANN|R|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1250FL.pdf|Release of Health-Related Information - HIPAA Privacy  (FL)|FL only
BANN|R|==,TB,UB|ME|08/02/2013,2:57:45 PM|ICC11 LU1250ME.pdf|Release of Health-Related Information - HIPAA Privacy|
BANN|R|==,TB,UB|VT|08/02/2013,2:57:45 PM|ICC11 LU1250VT.pdf|Release of Health-Related Information - HIPAA Privacy|
BANN|R|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/07/0006,4:35:13 PM|LAA1357.pdf|First Financial Inspection Request|
BANN|R|==,TB,UB|AL,AK,HI,ID,IL,KS,LA,MD,MI,MN,MS,NE,NV,NJ,SC,SD,TN,WY|08/02/2013,2:57:45 PM|LN-23.pdf|Notice and Consent for Blood Testing  (AL,AK,HI,ID,IL,KS,LA,MD,MI,MN,MS,NE,NV,NJ,SC,SD,TN,WY)|
BANN|R|==,TB,UB|AZ|08/02/2013,2:57:45 PM|LN-29.pdf|Notice and Consent for Blood Testing  (AZ)|
BANN|R|==,TB,UB|AR|08/02/2013,2:57:45 PM|LN-18-ARK.pdf|Notice and Consent for Blood Testing  (AR)|
BANN|R|==,TB,UB|CA|08/02/2013,2:57:45 PM|LN-43.pdf|Notice and Consent for Blood Testing  (CA)|
BANN|R|==,TB,UB|CO|08/02/2013,2:57:45 PM|LN-31.pdf|Notice and Consent for Blood Testing  (CO)|
BANN|R|==,TB,UB|CT|08/02/2013,2:57:45 PM|LN-26 (5-12).pdf|Notice and Consent for Blood Testing  (CT)|
BANN|R|==,TB,UB|DC|08/02/2013,2:57:45 PM|LN-9.pdf|Notice and Consent for Blood Testing  (DC)|
BANN|R|==,TB,UB|DE|08/02/2013,2:57:45 PM|LN-40 DE.pdf|Notice and Consent for Blood Testing  (DE)|
BANN|R|==,TB,UB|FL|08/02/2013,2:57:45 PM|LN-17-FLA.pdf|Notice and Consent for Blood Testing  (FL)|
BANN|R|==,TB,UB|GA|08/02/2013,2:57:45 PM|LN-28.pdf|Notice and Consent for Blood Testing  (GA)|
BANN|R|==,TB,UB|IA|08/02/2013,2:57:45 PM|LN-15A-IA.pdf|Notice and Consent for Blood Testing  (IA)|
BANN|R|==,TB,UB|IN|08/02/2013,2:57:45 PM|LN-41.pdf|Notice and Consent for Blood Testing  (IN)|
BANN|R|==,TB,UB|KY|08/02/2013,2:57:45 PM|LN-24.pdf|Notice and Consent for Blood Testing  (KY)|
BANN|R|==,TB,UB|ME|08/02/2013,2:57:45 PM|LN-42.pdf|Notice and Consent for Blood Testing  (ME)|
BANN|R|==,TB,UB|MA|08/02/2013,2:57:45 PM|LN-34-MA.pdf|Notice and Consent for Blood Testing  (MA)|
BANN|R|==,TB,UB|MO|08/02/2013,2:57:45 PM|LN-27.pdf|Notice and Consent for Blood Testing  (MO)|
BANN|R|==,TB,UB|MT|08/02/2013,2:57:45 PM|LN-36.pdf|Notice and Consent for Blood Testing  (MT)|Must complete and sign
BANN|R|==,TB,UB|MT|08/02/2013,2:57:45 PM|LN-37.pdf|HIV Pretest Counseling (MT) |Use to select pre/post HIV test counseling options 
BANN|R|==,TB,UB|NH|08/02/2013,2:57:45 PM|LN-8.pdf|Notice and Consent for Blood Testing  (NH)|
BANN|R|==,TB,UB|NM|08/02/2013,2:57:45 PM|LN-39 NM.pdf|Notice and Consent for Blood Testing  (NM)|
BANN|R|==,TB,UB|ND|08/02/2013,2:57:45 PM|LN-20-ND.pdf|Notice and Consent for Blood Testing  (ND)|
BANN|R|==,TB,UB|OH|08/02/2013,2:57:45 PM|LN-12-OH.pdf|Notice and Consent for Blood Testing  (OH)|
BANN|R|==,TB,UB|OR|08/02/2013,2:57:45 PM|LN5-OR.pdf|Notice and Consent for Blood Testing  (OR)|
BANN|R|==,TB,UB|PA|08/02/2013,2:57:45 PM|LN-32.pdf|Notice and Consent for Blood Testing  (PA)|
BANN|R|==,TB,UB|RI|08/02/2013,2:57:45 PM|LN-38.pdf|Notice and Consent for Blood Testing  (RI)|
BANN|R|==,TB,UB|TX|08/02/2013,2:57:45 PM|LN-4A-TX.pdf|Notice and Consent for Blood Testing  (TX)|
BANN|R|==,TB,UB|UT|08/02/2013,2:57:45 PM|LN-14-UT.pdf|Notice and Consent for Blood Testing  (UT)|
BANN|R|==,TB,UB|VA|08/02/2013,2:57:45 PM|LN-30.pdf|Notice and Consent for Blood Testing  (VA)|
BANN|R|==,TB,UB|VT|08/02/2013,2:57:45 PM|LN-7.pdf|Notice and Consent for Blood Testing  (VT)|
BANN|R|==,TB,UB|WA|08/02/2013,2:57:45 PM|LN-19-WA.pdf|Notice and Consent for Blood Testing  (WA)|
BANN|R|==,TB,UB|WV|08/02/2013,2:57:45 PM|LN-22-WV.pdf|Notice and Consent for Blood Testing  (WV)|
BANN|R|==,TB,UB|WI|08/02/2013,2:57:45 PM|LN-21.pdf|Notice and Consent for Blood Testing  (WI)|
BANN|R|==,TB,UB,AR|CA|07/29/2013,6:03:05 PM|LU1291.pdf|California Disclosure Notice to Persons Age 65 and Older |
BANN|R|==,TB,UB,AR|CA|07/29/2013,6:03:05 PM|LU1292.pdf|California Applicant (65 Years or Older) Verification of Disclosure Statements |
BANN|R|==,TB,UB|MN|07/29/2013,5:20:15 PM|LU1098.pdf|Disclosure Statement (MN)|
BANN|R|==,TB,UB|PA|08/02/2013,4:35:13 PM|LR-62.pdf|Disclosure Statement (PA)|
BANN|R|==,TB,UB|TX|07/29/2013,4:35:13 PM|LU1200T.pdf|Policy Summary Form  (TX)|TX only
BANN|R|==,TB,UB,AR|AL,AK,AR,CO,GA,ID,IL,IN,IA,KS,KY,LA,ME,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/21/2014,2:57:45 PM|ICC11ADB-D.pdf|Accelerated Death Benefit Disclosure  (generic)|This form is in the application package.
BANN|R|==,TB,UB,AR|AL,AZ,DE,DC,MT,ND,SD|08/02/2013,2:57:45 PM|ADBDISC-1.pdf|Accelerated Death Benefit Disclosure|This form is in the application package.
BANN|R|==,TB,UB,AR|CA|08/02/2013,2:57:45 PM|ADBDISC-CA.pdf|Accelerated Death Benefit Disclosure  (CA)|This form is in the application package.
BANN|R|==,TB,UB,AR|FL|08/02/2013,2:57:45 PM|ADBDISC FL.pdf|Accelerated Death Benefit Disclosure  (FL)|This form is in the application package.
BANN|R|==,TB,UB,AR|MA|08/02/2013,2:57:45 PM|ICC11ADBDMA.pdf|Accelerated Death Benefit Disclosure  (MA)|This form is in the application package.
BANN|R|==,TB,UB,AR|MT|08/02/2013,2:57:45 PM|ADBDISC-MT.pdf|Accelerated Death Benefit Disclosure  (MT)|This form is in the application package.
BANN|L|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,6:15:03 PM|LP180.pdf|3rd Party Translator's Statement|
BANN|L|==,UB|MN|05/29/2011,5:20:15 PM|LP108.pdf|UL Policy Fact Sheet  (MN)|MN only
BANN|L|==,UB|MD|07/29/2013,4:35:13 PM|LU1080.pdf|Maryland Applicant's Tax Statement (UL only)|MD only, UL only
BANN|L|==,TB,UB|PA|08/02/2013,2:57:45 PM|LR60.pdf|Surrender Comparison Index Disclosure - UL only  (PA)|PA only
BANN|L|==,TB,UB|PA|08/02/2013,2:57:45 PM|LR61.pdf|Disclosure Statement for UL  (PA)|PA only
BANN|L|==,TB,UB|CA,IL|03/14/2008,6:15:03 PM|LU1271.pdf|Conditional Receipt|
BANN|P|==,TB,UB|AL,AK,AZ,AR,CO,CT,HI,IA,KY,LA,ME,MD,MS,MT,NE,NH,NJ,NM,NC,OH,OR,RI,SC,SD,TX,UT,VT,VA,WV,WI|08/02/2013,2:57:45 PM|LF-204.pdf|Multi-State Replacement Form  (AL,AK,AZ,AR,CO,CT,HI,IA,KY,LA,ME,MD,MS,MT,NE,NH,NJ,NM,NC,OH,OR,RI,SC,TX,UT,VT,VA,WV,WI)|
BANN|P|==,TB,UB|AR|08/02/2013,2:57:45 PM|LF211.pdf|Notice Regarding Replacement  (AR)|
BANN|P|==,TB,UB|CA,IL|08/02/2013,2:57:45 PM|LU1072.pdf|Notice Regarding Replacement  (CA, IL)|
BANN|P|==,TB,UB|CA|08/02/2013,2:57:45 PM|LF-209-CA.pdf|Notice Regarding Replacement of a Banner with Banner Policy  (CA)|
BANN|P|==,TB,UB|DE|08/02/2013,2:57:45 PM|LF-200.pdf|Notice Regarding Replacement  (DE)|
BANN|P|==,TB,UB|FL|08/02/2013,2:57:45 PM|LF-138.pdf|Notice Regarding Replacement  (FL)|
BANN|P|==,TB,UB|GA|08/02/2013,2:57:45 PM|LF-192.pdf|Notice Regarding Replacement  (GA)|
BANN|P|==,TB,UB|ID|08/02/2013,2:57:45 PM|LF-194.pdf|Notice Regarding Replacement  (ID)|
BANN|P|==,TB,UB|IN|08/02/2013,2:57:45 PM|LF-142.pdf|Notice Regarding Replacement  (IN)|
BANN|P|==,TB,UB|KS|08/02/2013,2:57:45 PM|LF-187.pdf|Notice Regarding Replacement  (KS)|
BANN|P|==,TB,UB|KS|08/02/2013,2:57:45 PM|LF-187A.pdf|Notice Regarding Replacement of a Banner with Banner Policy  (KS)|
BANN|P|==,TB,UB|KS|08/02/2013,2:57:45 PM|LF-187B.pdf|Replacement Comparative Information Form  (KS)|
BANN|P|==,TB,UB|MA|08/02/2013,2:57:45 PM|LF-199.pdf|Notice Regarding Replacement  (MA)|
BANN|P|==,TB,UB|MI|08/02/2013,2:57:45 PM|LF-159.pdf|Notice Regarding Replacement  (MI)|
BANN|P|==,TB,UB|MN|08/02/2013,2:57:45 PM|LF-201.pdf|Notice Regarding Replacement  (MN)|
BANN|P|==,TB,UB|MO|08/02/2013,2:57:45 PM|LF-170.pdf|Notice Regarding Replacement  (MO)|
BANN|P|==,TB,UB|NV|08/02/2013,2:57:45 PM|LF-172.pdf|Notice Regarding Replacement  (NV)|
BANN|P|==,TB,UB|OK|08/02/2013,2:57:45 PM|LF-149.pdf|Notice Regarding Replacement  (OK)|
BANN|P|==,TB,UB|OK|08/02/2013,2:57:45 PM|LF-149-A.pdf|Statement by Applicant Regarding Notification of Replacement  (OK)|
BANN|P|==,TB,UB|PA|08/02/2013,2:57:45 PM|LF-174.pdf|Notice Regarding Replacement  (PA)|
BANN|P|==,TB,UB|TN|08/02/2013,2:57:45 PM|LF-195.pdf|Notice Regarding Replacement  (TN)|
BANN|P|==,TB,UB|WA|08/02/2013,2:57:45 PM|LF-177.pdf|Notice Regarding Replacement  (WA)|
BANN|P|==,TB,UB|WY|08/02/2013,2:57:45 PM|LF-182.pdf|Notice Regarding Replacement  (WY)|
BANN|A|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,9:28:00 PM|LP183.pdf|EFT Payment Options form|
BANN|A|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/14/2006,9:28:00 PM|LP184 (1-09).pdf|Credit/Check Card Authorization|Web only. Fillable.
BANN|A|==,TB,UB|AL,AK,AZ,AR,CA,CT,DE,DC,GA,HI,ID,IL,IN,IA,KS,LA,MD,MA,MI,MN,MS,MO,NE,NV,NH,NC,ND,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/07/2006,4:35:13 PM|Lu1198.pdf|Personal Information Statement|
BANN|A|==,TB,UB|CO|08/07/2006,4:35:13 PM|LU1198CO.pdf|Personal Information Statement (CO)|
BANN|A|==,TB,UB|FL|08/07/2006,4:35:13 PM|LU1198FL.pdf|Personal Information Statement (FL)|
BANN|A|==,TB,UB|KY|08/07/2006,4:35:13 PM|LU1198KY.pdf|Personal Information Statement (KY)|
BANN|A|==,TB,UB|NM|08/07/2006,4:35:13 PM|LU1198NM.pdf|Personal Information Statement (NM)|
BANN|A|==,TB,UB|NJ|08/07/2006,4:35:13 PM|LU1198NJ.pdf|Personal Information Statement (NJ)|
BANN|A|==,TB,UB|OH|08/07/2006,4:35:13 PM|LU1198OH.pdf|Personal Information Statement (OH)|
BANN|A|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1201.pdf|Florida - Option to Designate Secondary Addressee|
BANN|A|==,TB,UB|ME|08/02/2013,2:57:45 PM|LU1201ME.pdf|Third-Party Notice Request Form|
BANN|A|==,TB,UB|FL|08/02/2013,4:35:13 PM|LU1254.pdf|Florida - Option to Designate Secondary Addressee|FL only
BANN|A|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,5:16:04 PM|LR63.pdf|Employer Owned Life Insurance - Acknowledgement and Consent|
BANN|A|==,TB,UB,AR|AK,CO,GA,HI,ID,IN,IA,KS,KY,LA,ME,MD,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|05/29/2011,5:20:15 PM|ICC11ADBDISC.pdf|Death Benefit Disclosure|This form is in the application package.
BANN|B|==,TB,UB|AL,AK,AR,CO,GA,HI,ID,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|01/13/2015,12:21:09 AM|ICC08-LU1267.pdf|Medical Examiners Report|
BANN|B|==,TB,UB|AZ,DE,DC,SD|10/02/2013,12:21:09 AM|LU1267.pdf|Medical Examiners Report  (AZ,DE,DC,SD)|
BANN|B|==,TB,UB|CA|10/02/2013,12:21:09 AM|LU1267CA.pdf|Medical Examiners Report  (CA)|
BANN|B|==,TB,UB|CT|10/02/2013,12:21:09 AM|LU1267CT.pdf|Medical Examiners Report  (CT)|
BANN|B|==,TB,UB|FL|10/02/2013,12:21:09 AM|LU1267FL.pdf|Medical Examiners Report  (FL)|
BANN|B|==,TB,UB|IL|10/02/2013,12:21:09 AM|LU-1267-IL (04-10).pdf|Medical Examiners Report  (IL)|
BANN|B|==,TB,UB|MT|10/02/2013,12:21:09 AM|LU-1267-MT.pdf|Medical Examiners Report  (MT)|
BANN|B|==,TB,UB|ND|10/02/2013,12:21:09 AM|LU1267ND.pdf|Medical Examiners Report  (ND)|
BANN|B|==,TB,UB|AL,AK,AZ,AR,CA,CO,DE,DC,GA,HI,ID,IN,IA,KS,KY,LA,MD,MA,MS,MO,NE,NH,NM,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WV,WY,GU,PR,VI,AS|08/07/0006,4:35:13 PM|LU1034M.pdf|Medical Examiner's Report - Part II of Application|
BANN|B|==,TB,UB|FL|08/07/0006,4:35:13 PM|LU1034.pdf|Medical Examiner's Report - Part II of Application (FL)|
BANN|B|==,TB,UB|CT,NJ|08/07/0006,4:35:13 PM|LU1034A.pdf|Medical Examiner's Report - Part II of Application (CT,NJ)|
BANN|B|==,TB,UB|MI|08/07/0006,4:35:13 PM|LU1034D.pdf|Medical Examiner's Report - Part II of Application (MI)|
BANN|B|==,TB,UB|ME|08/07/0006,4:35:13 PM|LU1034R.pdf|Medical Examiner's Report - Part II of Application (ME)|
BANN|B|==,TB,UB|MN|08/07/0006,4:35:13 PM|LU1034I.pdf|Medical Examiner's Report - Part II of Application (MN)|
BANN|B|==,TB,UB|MT|08/07/0006,4:35:13 PM|LU1013MT(9-10).pdf|Medical Examiner's Report - Part II of Application (MT)|
BANN|B|==,TB,UB|NV|08/07/0006,4:35:13 PM|LU1034E.pdf|Medical Examiner's Report - Part II of Application (NV)|
BANN|B|==,TB,UB|ND,WI|08/07/0006,4:35:13 PM|LU1034F.pdf|Medical Examiner's Report - Part II of Application (ND,WI)|
BANN|B|==,TB,UB|NC|08/07/0006,4:35:13 PM|LU1034N.pdf|Medical Examiner's Report - Part II of Application (NC)|
BANN|B|==,TB,UB|VT|08/07/0006,4:35:13 PM|LU1034S.pdf|Medical Examiner's Report - Part II of Application (VT)|
BANN|B|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,4:35:13 PM|LP186.pdf|3rd Party Paramedical Translator's Statement|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1193.pdf|Chest Pain Questionaire|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1194.pdf|Diabetic Questionaire|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1241.pdf|Quick Quote for Sleep Apnea|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1242.pdf|Quick Quote for Diabetes Mellitus  (DM)|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1243.pdf|Quick Quote for Coronary Artery Disease  (CAD)|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1244.pdf|Quick Quote for Hepatitis|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1245.pdf|Quick Quote for Mitral Valve Prolapse|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,DE,DC,GA,HI,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MS,MO,MT,NE,NV,NH,NJ,NM,ND,OH,OK,OR,PA,RI,SC,SD,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1227.pdf|Alcohol/Drug Usage Questionnaire|
BANN|U|==,TB,UB|CT|08/02/2013,2:57:45 PM|LU1227CT.pdf|Alcohol/Drug Usage Questionnaire (CT)|
BANN|U|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1227FL.pdf|Alcohol/Drug Usage Questionnaire (FL)|FL only
BANN|U|==,TB,UB|ME|08/02/2013,2:57:45 PM|LU1227ME.pdf|Alcohol/Drug Usage Questionnaire (ME)|
BANN|U|==,TB,UB|MN|08/02/2013,2:57:45 PM|LU1227MN.pdf|Alcohol/Drug Usage Questionnaire (MN)|
BANN|U|==,TB,UB|NC|08/02/2013,2:57:45 PM|LU1227NC.pdf|Alcohol/Drug Usage Questionnaire (NC)|
BANN|U|==,TB,UB|TN|08/02/2013,2:57:45 PM|LU1227TN.pdf|Alcohol/Drug Usage Questionnaire (TN)|
BANN|U|==,TB,UB|AL,AK,AR,CO,GA,HI,ID,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,NE,NV,NH,NJ,NM,NC,OH,OK,OR,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/21/2014,2:57:45 PM|ICC08-LU1279.pdf|Foreign National, Resident and Travel Questionnaire|
BANN|U|==,TB,UB|AZ,CA,CT,DE,DC,ND,SD|08/02/2013,2:57:45 PM|LU1279.pdf|Foreign National, Resident and Travel Questionnaire  (AZ,AR,CA,CT,DE,DC,ND,SD)|
BANN|U|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1279-FL.pdf|Foreign National, Resident and Travel Questionnaire - FL|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,GA,HI,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1251.pdf|Skydiving, Mountan Climbing Questionnaire|
BANN|U|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1251FL.pdf|Skydiving, Mountan Climbing Questionnaire  (FL)|
BANN|U|==,TB,UB|ME|08/02/2013,2:57:45 PM|LU1251ME.pdf|Skydiving, Mountan Climbing Questionnaire  (ME)|
BANN|U|==,TB,UB|TN|08/02/2013,2:57:45 PM|LU1251TN.pdf|Skydiving, Mountan Climbing Questionnaire  (TN)|
BANN|U|==,TB,UB|AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|08/02/2013,2:57:45 PM|LU1252.pdf|Diving and Racing Questionnaire|
BANN|U|==,TB,UB|FL|08/02/2013,2:57:45 PM|LU1252FL.pdf|Diving and Racing Questionnaire (FL)|
BANN|U|==,TB,UB|ME|08/02/2013,2:57:45 PM|LU1252ME.pdf|Diving and Racing Questionnaire (ME)|
BANN|U|==,TB,UB|TN|08/02/2013,2:57:45 PM|LU1252TN.pdf|Diving and Racing Questionnaire (TN)|
